[1582099200] LOG ROTATION: DAILY
[1582099200] LOG VERSION: 2.0
[1582121661] SERVICE FLAPPING ALERT: vinfra-200;Current Load;STOPPED; Service appears to have stopped flapping (4.1% change < 5.0% threshold)
[1582121661] SERVICE NOTIFICATION: jatin;vinfra-200;Current Load;FLAPPINGSTOP (OK);notify-service-by-email;OK - load average: 0.81, 1.07, 1.22
[1582121661] SERVICE NOTIFICATION: atul;vinfra-200;Current Load;FLAPPINGSTOP (OK);notify-service-by-email;OK - load average: 0.81, 1.07, 1.22
[1582123610] Auto-save of retention data completed successfully.
[1582125055] SERVICE FLAPPING ALERT: vapps-100;Current Load;STOPPED; Service appears to have stopped flapping (4.1% change < 5.0% threshold)
[1582125055] SERVICE NOTIFICATION: jatin;vapps-100;Current Load;FLAPPINGSTOP (OK);notify-service-by-email;OK - load average: 0.00, 0.10, 0.17
[1582125055] SERVICE NOTIFICATION: atul;vapps-100;Current Load;FLAPPINGSTOP (OK);notify-service-by-email;OK - load average: 0.00, 0.10, 0.17
[1582127210] Auto-save of retention data completed successfully.
[1582129503] SERVICE ALERT: vonly-backup;Current Load;CRITICAL;SOFT;1;CRITICAL - load average: 10.75, 9.74, 6.57
[1582129563] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;2;WARNING - load average: 7.12, 8.89, 6.48
[1582129623] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;3;WARNING - load average: 5.62, 8.12, 6.36
[1582129683] SERVICE NOTIFICATION: nagiosadmin;vonly-backup;Current Load;WARNING;notify-service-by-email;WARNING - load average: 5.11, 7.52, 6.26
